KO	Gene_identification	A	B	C	D
K01572	oadB; oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]	NA	NA	NA	NA
K06644	SFN; stratifin	NA	NA	NA	NA
K12942	abgT; aminobenzoyl-glutamate transport protein	NA	NA	NA	NA
K03150	thiH; 2-iminoacetate synthase [EC:4.1.99.19]	NA	NA	NA	NA
K09663	GCNT4; beta-1,6-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	O-glycan biosynthesis, mucin type core
K19558	NBL1; neuroblastoma suppressor of tumorigenicity 1	NA	NA	NA	NA
K04612	CASR; calcium-sensing receptor	NA	NA	NA	NA
K10289	CCNF, FBXO1; F-box protein 1 (cyclin F)	NA	NA	NA	NA
K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	NA	NA	NA	NA
K07017	K07017; uncharacterized protein	NA	NA	NA	NA
K17441	ZFPM1, FOG1; zinc finger protein ZFPM1	NA	NA	NA	NA
K09353	LBX; homeobox protein LBX	NA	NA	NA	NA
K15590	TFEB; transcription factor EB	NA	NA	NA	NA
K10674	ectD; ectoine hydroxylase [EC:1.14.11.-]	NA	NA	NA	NA
K01558	WNT16; wingless-type MMTV integration site family, member 16	Functional set	Environmental information processing	Cell signaling	Wnt signaling
K06481	ITGA2, CD49b; integrin alpha 2	NA	NA	NA	NA
K00758	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]	NA	NA	NA	NA
K08044	ADCY4; adenylate cyclase 4 [EC:4.6.1.1]	Functional set	Environmental information processing	Cell signaling	cAMP signaling
K16012	cydC; ATP-binding cassette, subfamily C, bacterial CydC	NA	NA	NA	NA
K19491	DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5	NA	NA	NA	NA
K07209	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]	Functional set	Environmental information processing	Cell signaling	Toll-like receptor signaling
K05237	SST; somatostatin	NA	NA	NA	NA
K03344	IDAX; Dvl-binding protein IDAX	NA	NA	NA	NA
K09885	AQPF; aquaporin rerated protein, other eukaryote	NA	NA	NA	NA
K05367	pbpC; penicillin-binding protein 1C [EC:2.4.1.-]	NA	NA	NA	NA
K03091	SIG3.4; RNA polymerase sporulation-specific sigma factor	NA	NA	NA	NA
K09345	NKX2-5; homeobox protein Nkx-2.5	NA	NA	NA	NA
K12952	ctpE; cation-transporting ATPase E [EC:3.6.3.-]	NA	NA	NA	NA
K15374	TRAK2, GRIF1; trafficking kinesin-binding protein 2	NA	NA	NA	NA
K13869	SLC7A11; solute carrier family 7 (L-type amino acid transporter), member 11	NA	NA	NA	NA
K14385	SLC5A5, NIS; solute carrier family 5 (sodium/iodide cotransporter), member 5	NA	NA	NA	NA
K17693	ID2; DNA-binding protein inhibitor ID2	NA	NA	NA	NA
K18916	ptxD; phosphonate dehydrogenase [EC:1.20.1.1]	NA	NA	NA	NA
K09379	ZFHX2; zinc finger homeobox protein 2	NA	NA	NA	NA
K07010	K07010; putative glutamine amidotransferase	NA	NA	NA	NA
K04847	SCN3B; voltage-gated sodium channel type III beta	NA	NA	NA	NA
K12021	TRIM45; tripartite motif-containing protein 45	NA	NA	NA	NA
K16786	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	Structural complex	Environmental information processing	Metallic cation, iron-siderophore and vitamin B12 transport system	Energy-coupling factor transport system
K01151	nfo; deoxyribonuclease IV [EC:3.1.21.2]	NA	NA	NA	NA
K08974	K08974; putative membrane protein	NA	NA	NA	NA
K05003	KCNJ10; potassium inwardly-rectifying channel subfamily J member 10	NA	NA	NA	NA
K04577	CALCRL; calcitonin receptor-like	NA	NA	NA	NA
K09457	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	NA	NA	NA	NA
K09093	AHR; aryl hydrocarbon receptor	NA	NA	NA	NA
K04586	PTHR2; parathyroid hormone receptor 2	NA	NA	NA	NA
K01141	sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]	NA	NA	NA	NA
K04375	ELK1; ETS domain-containing protein Elk-1	NA	NA	NA	NA
K07919	RAB33A; Ras-related protein Rab-33A	NA	NA	NA	NA
K05106	EPHA5, EHK1, TYRO4; Eph receptor A5 [EC:2.7.10.1]	NA	NA	NA	NA
K10505	ZBTB26; zinc finger and BTB domain-containing protein 26	NA	NA	NA	NA
K19810	epmB; L-lysine 2,3-aminomutase [EC:5.4.3.-]	NA	NA	NA	NA
K03199	virB4, lvhB4; type IV secretion system protein VirB4	Structural complex	Environmental information processing	Bacterial secretion system	Type IV secretion system
K05209	GRIN2A; glutamate receptor ionotropic, NMDA 2A	NA	NA	NA	NA
K07916	RAB7L1, RAB7L; Ras-related protein Rab-7L1	NA	NA	NA	NA
K03951	NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
K07996	MMP16; matrix metalloproteinase-16 (membrane-inserted) [EC:3.4.24.-]	NA	NA	NA	NA
K19715	kdnA; 8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase [EC:2.6.1.109]	NA	NA	NA	NA
K13498	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Tryptophan biosynthesis, chorismate => tryptophan
K08895	SRMS; tyrosine-protein kinase Srms [EC:2.7.10.2]	NA	NA	NA	NA
K01060	cah; cephalosporin-C deacetylase [EC:3.1.1.41]	NA	NA	NA	NA
K09322	MEOX, MOX; homeobox protein MOX	NA	NA	NA	NA
K06104	AMOTL; angiomotin like	NA	NA	NA	NA
K19606	CRTAP; cartilage-associated protein	NA	NA	NA	NA
K18929	lldF; L-lactate dehydrogenase complex protein LldF	NA	NA	NA	NA
K02188	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	NA	NA	NA	NA
K10340	ASB18; ankyrin repeat and SOCS box protein 18	NA	NA	NA	NA
K14592	FOLH1, GCPII; glutamate carboxypeptidase II (folate hydrolase 1) [EC:3.4.17.21]	NA	NA	NA	NA
K17201	ARL15; ADP-ribosylation factor-like protein 15	NA	NA	NA	NA
K17897	GATA6; GATA-binding protein 6	NA	NA	NA	NA
K02187	CASP3; caspase 3 [EC:3.4.22.56]	Functional set	Environmental information processing	Cell signaling	Apoptotic machinery
K02033	ABC.PE.P; peptide/nickel transport system permease protein	Structural complex	Environmental information processing	Peptide and nickel transport system	Peptides/nickel transport system
K13757	PDE6C; cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]	NA	NA	NA	NA
K05094	FGFR3, CD333; fibroblast growth factor receptor 3 [EC:2.7.10.1]	NA	NA	NA	NA
K10744	RNASEH2B; ribonuclease H2 subunit B	NA	NA	NA	NA
K11724	BRDT; bromodomain testis-specific protein	NA	NA	NA	NA
K09278	RUNX2, AML3; runt-related transcription factor 2	NA	NA	NA	NA
K06756	NRCAM; neuronal cell adhesion molecule	NA	NA	NA	NA
K10247	ELOVL1; elongation of very long chain fatty acids protein 1 [EC:2.3.1.199]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, elongation, endoplasmic reticulum
K17631	SYNGAP, RASA5; Ras/Rap GTPase-activating protein SynGAP	NA	NA	NA	NA
K15531	rexA; oligosaccharide reducing-end xylanase [EC:3.2.1.156]	NA	NA	NA	NA
K03818	wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]	NA	NA	NA	NA
K11799	WDR21A; WD repeat-containing protein 21A	NA	NA	NA	NA
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	NA	NA	NA	NA
K07481	K07481; transposase, IS5 family	NA	NA	NA	NA
K06988	K06988; uncharacterized protein	NA	NA	NA	NA
K01574	adc; acetoacetate decarboxylase [EC:4.1.1.4]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
K07363	ITK; IL2-inducible T-cell kinase [EC:2.7.10.2]	NA	NA	NA	NA
K17480	AATK, LMTK1; lemur tyrosine kinase 1 [EC:2.7.10.1]	NA	NA	NA	NA
K10490	ZBTB3; zinc finger and BTB domain-containing protein 3	NA	NA	NA	NA
K06847	RGM; RGM domain family	NA	NA	NA	NA
K05083	ERBB2, HER2, CD340; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]	NA	NA	NA	NA
K05032	ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8	NA	NA	NA	NA
K17974	JSN1, PUF1; protein JSN1	NA	NA	NA	NA
K17442	ZFPM2, FOG2; zinc finger protein ZFPM2	NA	NA	NA	NA
K13716	OTUD1; OTU domain-containing protein 1 [EC:3.4.19.12]	NA	NA	NA	NA
K01296	CPM; carboxypeptidase M [EC:3.4.17.12]	NA	NA	NA	NA
K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	NA	NA	NA	NA
K18384	L3HYPDH; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]	NA	NA	NA	NA
K11153	RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]	NA	NA	NA	NA
K16316	STK31, TDRD8; serine/threonine-protein kinase 31 [EC:2.7.11.1]	NA	NA	NA	NA
K17529	SGK494; uncharacterized serine/threonine-protein kinase SgK494 [EC:2.7.11.1]	NA	NA	NA	NA
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	Pathway module	Energy metabolism	Carbon fixation	Reductive citrate cycle (Arnon-Buchanan cycle)
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	Pathway module	Energy metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	Pathway module	Energy metabolism	Carbon fixation	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pyruvate oxidation, pyruvate => acetyl-CoA
K03632	mukB; chromosome partition protein MukB	NA	NA	NA	NA
K18285	mqnE; aminodeoxyfutalosine synthase [EC:2.5.1.120]	NA	NA	NA	NA
K15208	SNAPC1; snRNA-activating protein complex subunit 1	NA	NA	NA	NA
K01059	LPL; lipoprotein lipase [EC:3.1.1.34]	NA	NA	NA	NA
K00423	E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]	NA	NA	NA	NA
K07031	hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]	NA	NA	NA	NA
K10470	KBTBD2; kelch repeat and BTB domain-containing protein 2	NA	NA	NA	NA
K04012	CR2, CD21; complement receptor type 2	NA	NA	NA	NA
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	NA	NA	NA	NA
K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	NA	NA	NA	NA
K10887	DCLRE1C, ARTEMIS, SCIDA; DNA cross-link repair 1C protein [EC:3.1.-.-]	NA	NA	NA	NA
K02024	lamB; maltoporin	NA	NA	NA	NA
K03570	mreC; rod shape-determining protein MreC	NA	NA	NA	NA
K08270	DDIT4, REDD1; DNA-damage-inducible transcript 4	NA	NA	NA	NA
K01388	MMP1; matrix metalloproteinase-1 (interstitial collagenase) [EC:3.4.24.7]	NA	NA	NA	NA
K08003	MMP25; matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-]	NA	NA	NA	NA
K04772	degQ, hhoA; serine protease DegQ [EC:3.4.21.-]	NA	NA	NA	NA
K09045	ATF7, ATFA; activating transcription factor 7	NA	NA	NA	NA
K02217	ftnA, ftn; ferritin [EC:1.16.3.2]	NA	NA	NA	NA
K09808	lolC_E; lipoprotein-releasing system permease protein	Structural complex	Environmental information processing	ABC-2 type and other transport systems	Lipoprotein-releasing system
K02387	flgB; flagellar basal-body rod protein FlgB	NA	NA	NA	NA
K02057	ABC.SS.P; simple sugar transport system permease protein	Structural complex	Environmental information processing	Saccharide, polyol, and lipid transport system	Putative simple sugar transport system [BR:ko02000]
K04654	hypD; hydrogenase expression/formation protein HypD	NA	NA	NA	NA
K15282	SLC44A3; solute carrier family 44 (choline transporter-like protein), member 3	NA	NA	NA	NA
K13889	gsiB; glutathione transport system substrate-binding protein	Structural complex	Environmental information processing	Peptide and nickel transport system	Glutathione transport system
K13156	SNRNP48; U11/U12 small nuclear ribonucleoprotein 48 kDa protein	NA	NA	NA	NA
K05197	GRIA1; glutamate receptor 1	NA	NA	NA	NA
K11152	RDH11; retinol dehydrogenase 11 [EC:1.1.1.300]	NA	NA	NA	NA
K16691	KRN; keren	NA	NA	NA	NA
K16646	ANXA5; annexin A5	NA	NA	NA	NA
K09551	CLGN; calmegin	NA	NA	NA	NA
K14635	MPH1; ATP-dependent DNA helicase MPH1 [EC:3.6.4.12]	NA	NA	NA	NA
K08677	K08677; kumamolisin	NA	NA	NA	NA
K07139	K07139; uncharacterized protein	NA	NA	NA	NA
K04096	smf; DNA processing protein	NA	NA	NA	NA
K11591	MBD3; methyl-CpG-binding domain protein 3	NA	NA	NA	NA
K15718	LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]	NA	NA	NA	NA
K09703	K09703; uncharacterized protein	NA	NA	NA	NA
K11069	potD; spermidine/putrescine transport system substrate-binding protein	Structural complex	Environmental information processing	Mineral and organic ion transport system	Spermidine/putrescine transport system
K02018	modB; molybdate transport system permease protein	Structural complex	Environmental information processing	Mineral and organic ion transport system	Molybdate transport system
K06245	LAMB4; laminin, beta 4	NA	NA	NA	NA
K15256	cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	NA	NA	NA	NA
K04127	cefD; isopenicillin-N epimerase [EC:5.1.1.17]	Pathway module	Secondary metabolism	Biosynthesis of secondary metabolites	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C
K05084	ERBB3, HER3; receptor tyrosine-protein kinase erbB-3 [EC:2.7.10.1]	NA	NA	NA	NA
K02237	comEA; competence protein ComEA	Structural complex	Environmental information processing	Bacterial secretion system	Competence-related DNA transformation transporter [BR:ko02044]
K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	Pathway module	Energy metabolism	Sulfur metabolism	Assimilatory sulfate reduction, sulfate => H2S
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	NA	NA	NA	NA
K12972	ghrA; glyoxylate/hydroxypyruvate reductase A [EC:1.1.1.79 1.1.1.81]	NA	NA	NA	NA
K05788	ihfB, himD; integration host factor subunit beta	NA	NA	NA	NA
K02823	pyrDII; dihydroorotate dehydrogenase electron transfer subunit	NA	NA	NA	NA
K01576	mdlC; benzoylformate decarboxylase [EC:4.1.1.7]	NA	NA	NA	NA
K05828	lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
K05828	lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine
K03418	E3.5.1.56; N,N-dimethylformamidase [EC:3.5.1.56]	NA	NA	NA	NA
K08382	GPR33; G protein-coupled receptor 33	NA	NA	NA	NA
K04117	aliB; cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-]	Pathway module	Secondary metabolism	Aromatics degradation	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA
K11891	impL, vasK, icmF; type VI secretion system protein ImpL	Structural complex	Environmental information processing	Bacterial secretion system	Type VI secretion system
K06524	ITGAE, CD103; integrin alpha E	NA	NA	NA	NA
K10459	KLHL22, KELCHL; kelch-like protein 22	NA	NA	NA	NA
K13157	RNPC3; U11/U12 small nuclear ribonucleoprotein 65 kDa protein	NA	NA	NA	NA
K05829	lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
K05829	lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine
K18439	ARAP1; Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	NA	NA	NA	NA
K05142	TNFRSF4, OX40, CD134; tumor necrosis factor receptor superfamily member 4	NA	NA	NA	NA
K15583	oppD; oligopeptide transport system ATP-binding protein	Structural complex	Environmental information processing	Peptide and nickel transport system	Oligopeptide transport system
K07205	EIF4EBP1; eukaryotic translation initiation factor 4E binding protein 1	NA	NA	NA	NA
K00622	nat; arylamine N-acetyltransferase [EC:2.3.1.5]	NA	NA	NA	NA
K04385	AXIN2; axin 2	NA	NA	NA	NA
K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]	Pathway module	Secondary metabolism	Aromatics degradation	Catechol ortho-cleavage, catechol => 3-oxoadipate
K05996	cpt; carboxypeptidase T [EC:3.4.17.18]	NA	NA	NA	NA
K16735	ITGB1BP2; integrin beta-1-binding protein 2	NA	NA	NA	NA
K13999	CKAP4, CLIMP63; cytoskeleton-associated protein 4	NA	NA	NA	NA
K07439	CYP39A1; 24-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.26]	NA	NA	NA	NA
K03709	troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator	NA	NA	NA	NA
K03274	gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	Pathway module	Carbohydrate and lipid metabolism	Lipopolysaccharide metabolism	ADP-L-glycero-D-manno-heptose biosynthesis
K03592	pmbA; PmbA protein	NA	NA	NA	NA
K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Coenzyme A biosynthesis, pantothenate => CoA
K10117	msmE; raffinose/stachyose/melibiose transport system substrate-binding protein	Structural complex	Environmental information processing	Saccharide, polyol, and lipid transport system	Multiple sugar transport system
K11907	vasG, clpV; type VI secretion system protein VasG	Structural complex	Environmental information processing	Bacterial secretion system	Type VI secretion system
K10264	FBXW8; F-box and WD-40 domain protein 8	NA	NA	NA	NA
K17557	PPP1R14D, GBPI; protein phosphatase 1 regulatory subunit 14D	NA	NA	NA	NA
K03175	TRAF6; TNF receptor-associated factor 6 [EC:2.3.2.27]	Functional set	Environmental information processing	Cell signaling	Toll-like receptor signaling
K08411	GPR26; G protein-coupled receptor 26	NA	NA	NA	NA
K02390	flgE; flagellar hook protein FlgE	NA	NA	NA	NA
K15302	STXBP4, SYNIP; syntaxin-binding protein 4	NA	NA	NA	NA
K16261	YAT; yeast amino acid transporter	NA	NA	NA	NA
K11316	SUPT7L; STAGA complex 65 subunit gamma	NA	NA	NA	NA
K12564	SGCG; gamma-sarcoglycan	NA	NA	NA	NA
K09160	K09160; uncharacterized protein	NA	NA	NA	NA
K09310	GSH; homeobox protein GSH	NA	NA	NA	NA
K05697	PTPN6, SHP-1; tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]	NA	NA	NA	NA
K04903	KCNG4; potassium voltage-gated channel subfamily G member 4	NA	NA	NA	NA
K06808	CDH13; cadherin 13, H-cadherin	NA	NA	NA	NA
K01067	E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]	NA	NA	NA	NA
K03213	NKD; naked cuticle	NA	NA	NA	NA
K13481	xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Purine degradation, xanthine => urea
K07260	vanY; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	Signature module	Gene set	Drug resistance	Vancomycin resistance, D-Ala-D-Lac type
K06187	recR; recombination protein RecR	NA	NA	NA	NA
K17280	CHRDL2; chordin-like protein 2	NA	NA	NA	NA
K03774	slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]	NA	NA	NA	NA
K10495	ZBTB8; zinc finger and BTB domain-containing protein 8	NA	NA	NA	NA
K19346	SYNE2; nesprin-2	NA	NA	NA	NA
K00502	TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Melatonin biosynthesis, tryptophan => serotonin => melatonin
K11741	sugE; quaternary ammonium compound-resistance protein SugE	NA	NA	NA	NA
K13893	yejA; microcin C transport system substrate-binding protein	Structural complex	Environmental information processing	Peptide and nickel transport system	Microcin C transport system
K05022	CLIC2; chloride intracellular channel protein 2	NA	NA	NA	NA
K09194	SP4; transcription factor Sp4	NA	NA	NA	NA
K05660	ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5	NA	NA	NA	NA
K05621	TGM4; transglutaminase 4 [EC:2.3.2.13]	NA	NA	NA	NA
K12314	ACTC1; actin, alpha cardiac muscle	NA	NA	NA	NA
K07365	NCK1; NCK adaptor protein 1	NA	NA	NA	NA
K10060	CLEC4F, CLECSF13; C-type lectin domain family 4 member F	NA	NA	NA	NA
K05101	NTRK3, TRKC; neurotrophic tyrosine kinase, receptor type 3 [EC:2.7.10.1]	NA	NA	NA	NA
K09971	aapM, bztC; general L-amino acid transport system permease protein	Structural complex	Environmental information processing	Phosphate and amino acid transport system	General L-amino acid transport system
K00839	pucG; (S)-ureidoglycine-glyoxylate aminotransferase [EC:2.6.1.-]	NA	NA	NA	NA
K04069	pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	NA	NA	NA	NA
K09628	PRSS27; serine protease 27 [EC:3.4.21.-]	NA	NA	NA	NA
K00090	E1.1.1.215; gluconate 2-dehydrogenase [EC:1.1.1.215]	NA	NA	NA	NA
K08785	HTRA3; HtrA serine peptidase 3 [EC:3.4.21.-]	NA	NA	NA	NA
K09036	MAFB; transcription factor MAFB	NA	NA	NA	NA
K11484	HOS3; histone deacetylase HOS3 [EC:3.5.1.98]	NA	NA	NA	NA
K02573	napG; ferredoxin-type protein NapG	NA	NA	NA	NA
K17300	LGALS3BP; galectin-3-binding protein	NA	NA	NA	NA
K08502	VAM7; regulator of vacuolar morphogenesis	NA	NA	NA	NA
K00684	aat; leucyl/phenylalanyl-tRNA--protein transferase [EC:2.3.2.6]	NA	NA	NA	NA
K09762	K09762; uncharacterized protein	NA	NA	NA	NA
K14728	K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]	NA	NA	NA	NA
K11225	STAT6; signal transducer and activator of transcription 6	Functional set	Environmental information processing	Cell signaling	JAK-STAT signaling
K08575	CAPN6; calpain-6 [EC:3.4.22.-]	NA	NA	NA	NA
K17386	PDGFB; platelet-derived growth factor subunit B	NA	NA	NA	NA
K02429	fucP; MFS transporter, FHS family, L-fucose permease	NA	NA	NA	NA
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	Pathway module	Energy metabolism	Nitrogen metabolism	Denitrification, nitrate => nitrogen
K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	Structural complex	Environmental information processing	Peptide and nickel transport system	Peptides/nickel transport system
K07522	NTNG1; netrin-G1	NA	NA	NA	NA
K09277	YBX2; Y-box-binding protein 2	NA	NA	NA	NA
K11149	DHRS9; dehydrogenase/reductase SDR family member 9 [EC:1.1.-.-]	NA	NA	NA	NA
K02189	cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	NA	NA	NA	NA
K06720	ectC; L-ectoine synthase [EC:4.2.1.108]	Pathway module	Nucleotide and amino acid metabolism	Other amino acid metabolism	Ectoine biosynthesis, aspartate => ectoine
K09197	SP7; transcription factor Sp7	NA	NA	NA	NA
K10676	tfdB; 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]	NA	NA	NA	NA
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	Pathway module	Energy metabolism	Carbon fixation	3-Hydroxypropionate bi-cycle
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	Pathway module	Energy metabolism	Carbon fixation	Hydroxypropionate-hydroxybutylate cycle
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
K01170	endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]	NA	NA	NA	NA
K07939	ARF4; ADP-ribosylation factor 4	NA	NA	NA	NA
K12370	dppC; dipeptide transport system permease protein	Structural complex	Environmental information processing	Peptide and nickel transport system	Dipeptide transport system
K08121	FMOD; fibromodulin	NA	NA	NA	NA
K02654	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	Structural complex	Environmental information processing	Bacterial secretion system	Type II general secretion system
K04522	PSEN2, PS2; presenilin 2 [EC:3.4.23.-]	Functional set	Environmental information processing	Cell signaling	Notch signaling
K05155	TNFRSF19, TROY; tumor necrosis factor receptor superfamily member 19	NA	NA	NA	NA
K05259	GCG; glucagon	NA	NA	NA	NA
K08885	TNK1; non-receptor tyrosine-protein kinase TNK1 [EC:2.7.10.2]	NA	NA	NA	NA
K19903	SYT3; synaptotagmin-3	NA	NA	NA	NA
K05375	mbtH, nocI; MbtH protein	Pathway module	Secondary metabolism	Biosynthesis of secondary metabolites	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A
K10469	KLHL34; kelch-like protein 34	NA	NA	NA	NA
K09975	K09975; uncharacterized protein	NA	NA	NA	NA
K00528	fpr; ferredoxin--NADP+ reductase [EC:1.18.1.2]	NA	NA	NA	NA
K12506	ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	Pathway module	Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, non-mevalonate pathway
K05626	DRPLA; atrophin-1 (dentatorubral-pallidoluysian atrophy protein)	NA	NA	NA	NA
K03042	rpoA2; DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase, archaea
K16213	cbe, mbe; cellobiose epimerase [EC:5.1.3.11]	NA	NA	NA	NA
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
